    ('3OTYUYS98YI4AQ01', '3OTYOBAJJ2DCFP01', 'test_user1', NULL, NULL, NULL, NULL, NULL, NULL, '2022-02-17T08:05:30.000000Z', NULL, 'IN_PROGRESS', '2022-02-17T08:05:30.000000Z', '2022-02-17T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XLKBTWI61L', '3Q8ZLISXE86ON90J', 'test_user1', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NOT_RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:12:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XMSRJ89H1M', '3Q8ZLISXE86ON90J', 'test_user2', NULL, 'MBM782', NULL, 'NOT_RECOGNIZED', 'RECOGNIZED', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:13:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XMYHH4861N', '3Q8ZLISXE86ON90J', 'test_user3', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:14:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XM4LUGC11O', '3Q8ZLISXE86ON90J', 'test_user4', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:15:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XNAHCCDZ1P', '3Q8ZLISXE86ON90J', 'test_user5', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NO_PLATE', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:16:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XNGI8O0E1Q', '3Q8ZLISYMOL0R10K', 'test_user1', 'MBM782', NULL, 'GROUP_1', 'RECOGNIZED', 'NOT_RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:17:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XNMV94JK1R', '3Q8ZLISYMOL0R10K', 'test_user2', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:18:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XO8XP4781S', '3Q8ZLISYMOL0R10K', 'test_user3', NULL, 'MBM782', 'GROUP_1', 'NO_PLATE', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:19:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XQG6C0FX1T', '3Q8ZLISYMOL0R10K', 'test_user4', 'MBM782', NULL, NULL, 'RECOGNIZED', 'NO_PLATE', 'NOT_RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:20:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1),
    ('3Q90P2XRS2T0Z91U', '3Q8ZLISYMOL0R10K', 'test_user5', 'MBM782', 'MBM782', 'GROUP_1', 'RECOGNIZED', 'RECOGNIZED', 'RECOGNIZED', '2022-02-18T07:05:30.000000Z', '2022-02-18T11:21:30.000000Z', 'FINISHED', '2022-02-15T08:05:30.000000Z', '2022-02-15T08:05:30.000000Z', 'init', 'init', 1);
